district_name,total_crime_rate
Anantapur,610.0
Chittoor,2425.0
Y.S.R.,8090.0
East Godavari,3340.0
Anantapur,90.0
Guntur,340.0
Guntur,1120.0
Krishna,840.0
Kurnool,7885.0
Spsr Nellore,850.0
Prakasam,1660.0
East Godavari,800.0
Srikakulam,1270.0
Tirupati,600.0
Ntr,1070.0
Ntr,300.0
Visakhapatanam,2040.0
Visakhapatanam,3375.0
Vizianagaram,2515.0
West Godavari,8555.0
Anjaw,0.0
Changlang,210.0
Papum Pare,5.0
Dibang Valley,0.0
East Kameng,0.0
West Kameng,35.0
Kurung Kumey,0.0
Lohit,70.0
Longding,35.0
Lower Dibang Valley,15.0
Papum Pare,120.0
Papum Pare,10.0
East Siang,90.0
Upper Siang,0.0
West Siang,0.0
Lower Subansiri,0.0
Upper Subansiri,15.0
Tawang,0.0
Tirap,50.0
Namsai,220.0
Siang,0.0
Kamle,0.0
Lower Siang,10.0
Kamrup Metro,60.0
Barpeta,885.0
Baksa,550.0
Bongaigaon,550.0
Kamrup Metro,40.0
Cachar,1240.0
Chirang,220.0
Darrang,865.0
Dhemaji,420.0
Dhubri,2300.0
Dibrugarh,1255.0
Kamrup Metro,305.0
Goalpara,275.0
Golaghat,645.0
Kamrup Metro,3995.0
Hailakandi,345.0
West Karbi Anglong,5.0
Jorhat,955.0
Kamrup,840.0
Karbi Anglong,410.0
Karimganj,535.0
Kokrajhar,315.0
Lakhimpur,395.0
Marigaon,1070.0
Dima Hasao,0.0
Nagaon,2220.0
Nalbari,260.0
Kamrup Metro,5.0
Kamrup Metro,0.0
Kamrup Metro,5.0
Sivasagar,540.0
Sonitpur,525.0
Tinsukia,625.0
Udalguri,275.0
Tinsukia,25.0
Majuli,60.0
Biswanath,215.0
Hojai,395.0
South Salmara Mancachar,295.0
Charaideo,190.0
Araria,530.0
Arwal,170.0
Aurangabad,680.0
Pashchim Champaran,540.0
Banka,295.0
Begusarai,1065.0
Pashchim Champaran,935.0
Kaimur (Bhabua),730.0
Bhagalpur,950.0
Bhojpur,1195.0
Buxar,505.0
Darbhanga,2185.0
Gaya,1570.0
Gopalganj,630.0
Munger,110.0
Jamui,680.0
Jehanabad,600.0
Katihar,720.0
Katihar,125.0
Khagaria,530.0
Kishanganj,1775.0
Lakhisarai,480.0
Madhepura,470.0
Madhubani,725.0
Purbi Champaran,1010.0
Munger,690.0
Muzaffarpur,1330.0
Muzaffarpur,340.0
Nalanda,905.0
Bhagalpur,315.0
Nawada,325.0
Patna,3600.0
Patna,155.0
Purnia,555.0
Rohtas,775.0
Saharsa,595.0
Samastipur,910.0
Saran,890.0
Sheikhpura,340.0
Sheohar,210.0
Sitamarhi,730.0
Siwan,760.0
Supaul,535.0
Vaishali,985.0
Patna,5.0
Patna,5.0
Balod,2405.0
Baloda Bazar,2950.0
Balrampur,555.0
Bemetara,3580.0
Bilaspur,6770.0
Bijapur,265.0
Dantewada,585.0
Dhamtari,2580.0
Durg,6925.0
Gariyaband,1115.0
Raipur,280.0
Bastar,1710.0
Janjgir-Champa,4145.0
Jashpur,1465.0
Kabirdham,1700.0
Kanker,1415.0
Kondagaon,755.0
Korba,2310.0
Korea,2740.0
Mahasamund,2365.0
Mungeli,2820.0
Narayanpur,160.0
Raigarh,4725.0
Raipur,6825.0
Rajnandgaon,3945.0
Surguja,1325.0
Sukma,125.0
Surajpur,3240.0
North Goa,1950.0
South Goa,2215.0
North Goa,600.0
Ahmadabad,101265.0
Ahmadabad,29110.0
Amreli,17080.0
Anand,26805.0
Arvalli,17525.0
Banas Kantha,47315.0
Bharuch,20165.0
Bhavnagar,52605.0
Botad,9225.0
Chhotaudepur,4390.0
Gandhinagar,0.0
Dohad,21915.0
Dang,2160.0
Devbhumi Dwarka,14370.0
Gandhinagar,15925.0
Gir Somnath,12660.0
Jamnagar,34870.0
Junagadh,19675.0
Kachchh,13165.0
Kachchh,15405.0
Kheda,30380.0
Mahisagar,11100.0
Mahesana,22485.0
Morbi,24895.0
Narmada,5625.0
Navsari,23980.0
Panch Mahals,25525.0
Patan,16115.0
Porbandar,18175.0
Rajkot,10400.0
Rajkot,30590.0
Sabar Kantha,13120.0
Surat,88205.0
Surat,24870.0
Surendranagar,13360.0
Tapi,6490.0
Vadodara,86180.0
Vadodara,30885.0
Valsad,18335.0
Ahmadabad,10130.0
Vadodara,8830.0
Ambala,4315.0
Bhiwani,1570.0
Faridabad,7750.0
Fatehabad,4575.0
Ambala,725.0
Gurugram,7210.0
Hisar,2560.0
Jhajjar,2260.0
Jind,1935.0
Kaithal,1815.0
Karnal,3715.0
Kurukshetra,3285.0
Mahendragarh,1995.0
Nuh,4605.0
Palwal,3955.0
Panchkula,1460.0
Panipat,3360.0
Rewari,2345.0
Rohtak,2550.0
Sirsa,3205.0
Sonipat,3645.0
Yamunanagar,3950.0
Gurugram,0.0
Charki Dadri,1850.0
Hisar,875.0
Solan,365.0
Bilaspur,485.0
Chamba,380.0
Shimla,50.0
Shimla,0.0
Hamirpur,330.0
Kangra,1755.0
Kinnaur,245.0
Kullu,985.0
Lahul And Spiti,85.0
Mandi,935.0
Shimla,1305.0
Sirmaur,440.0
Solan,285.0
Una,1000.0
Shimla,15.0
Anantnag,515.0
Pulwama,330.0
Bandipora,240.0
Baramulla,515.0
Budgam,315.0
Jammu,5.0
Jammu,0.0
Doda,105.0
Ganderbal,250.0
Kupwara,250.0
Jammu,1525.0
Kargil,5.0
Kathua,735.0
Kishtwar,130.0
Kulgam,620.0
Kupwara,330.0
Leh Ladakh,5.0
Poonch,265.0
Pulwama,305.0
Jammu,20.0
Jammu,45.0
Reasi,5.0
Rajouri,1530.0
Ramban,180.0
Reasi,205.0
Samba,510.0
Shopian,300.0
Baramulla,330.0
Srinagar,990.0
Udhampur,360.0
Bokaro,435.0
West Singhbhum,545.0
Chatra,925.0
Deoghar,1360.0
Dhanbad,1415.0
Dhanbad,50.0
Dumka,590.0
Garhwa,1110.0
Giridih,1535.0
Godda,50.0
Gumla,710.0
Hazaribagh,2405.0
East Singhbum,905.0
East Singhbum,10.0
Jamtara,1065.0
Khunti,485.0
Koderma,485.0
Latehar,910.0
Lohardaga,205.0
Pakur,385.0
Palamu,1500.0
Ramgarh,470.0
Ranchi,2720.0
Sahebganj,570.0
Saraikela Kharsawan,625.0
Simdega,355.0
Bagalkote,3265.0
Bengaluru Urban,26100.0
Bengaluru Urban,2335.0
Belagavi,5815.0
Ballari,5730.0
Bidar,2100.0
Vijayapura,4235.0
Chikkaballapura,2250.0
Chamarajanagara,2100.0
Chikkamagaluru,2125.0
Chitradurga,2910.0
Dakshina Kannada,1425.0
Davangere,3290.0
Dharwad,1260.0
Gadag,2090.0
Kalaburagi,3710.0
Hassan,2265.0
Haveri,1970.0
Dharwad,2095.0
Belagavi,405.0
Kodagu,805.0
Kolar,1010.0
Koppal,3680.0
Mandya,2875.0
Dakshina Kannada,3405.0
Mysuru,1320.0
Mysuru,2435.0
Raichur,3310.0
Bengaluru Urban,190.0
Ramanagara,1625.0
Shivamogga,5410.0
Tumakuru,4320.0
Udupi,2970.0
Uttara Kannada,1975.0
Yadgir,1930.0
Belagavi,1670.0
Alappuzha,57610.0
Ernakulam,120780.0
Ernakulam,61020.0
Idukki,27205.0
Kannur,53055.0
Kasaragod,9400.0
Kollam,79045.0
Kollam,55420.0
Kottayam,52805.0
Kozhikode,15060.0
Kozhikode,21265.0
Malappuram,14675.0
Palakkad,33510.0
Pathanamthitta,63975.0
Thiruvananthapuram,16385.0
Thrissur,25625.0
Thrissur,51795.0
Thiruvananthapuram,77635.0
Thiruvananthapuram,100895.0
Wayanad,7120.0
Thiruvananthapuram,220.0
Agar Malwa,1180.0
Alirajpur,695.0
Anuppur,4520.0
Ashoknagar,2550.0
Balaghat,3015.0
Barwani,2415.0
Betul,5460.0
Bhind,2275.0
Bhopal,14295.0
Bhopal,1150.0
Burhanpur,2375.0
Chhatarpur,3715.0
Chhindwara,3620.0
Damoh,4645.0
Datia,3065.0
Dewas,4265.0
Dhar,4665.0
Dindori,1735.0
Guna,3490.0
Gwalior,7335.0
Harda,1555.0
Narmadapuram,4430.0
Indore,16635.0
Indore,545.0
Jabalpur,14710.0
Jabalpur,230.0
Jhabua,735.0
Katni,4055.0
Indore,3355.0
Khargone,2920.0
Mandla,2380.0
Mandsaur,6410.0
Morena,5190.0
Narsinghpur,5630.0
Neemuch,3105.0
Panna,4610.0
Raisen,6320.0
Rajgarh,3695.0
Ratlam,6615.0
Rewa,2320.0
Sagar,6615.0
Satna,5110.0
Seoni,4325.0
Shahdol,3015.0
Shajapur,2250.0
Sheopur,2235.0
Shivpuri,5735.0
Sidhi,1180.0
Sehore,3980.0
Singrauli,1200.0
Tikamgarh,2595.0
Ujjain,8045.0
Umaria,1130.0
Vidisha,4010.0
Cyber Crime Cell,660.0
Ahmednagar,25385.0
Akola,17220.0
Amravati,10760.0
Amravati,23305.0
Aurangabad,4600.0
Aurangabad,19020.0
Beed,22910.0
Bhandara,12190.0
Buldhana,29865.0
Chandrapur,50210.0
Dhule,11340.0
Gadchiroli,10265.0
Gondia,16770.0
Hingoli,8150.0
Jalgaon,20325.0
Jalna,12055.0
Kolhapur,13385.0
Latur,13255.0
Mumbai,93925.0
Mumbai,3035.0
Nagpur,29230.0
Nagpur,1265.0
Nagpur,21895.0
Nanded,18565.0
Nandurbar,7980.0
Nashik,5530.0
Nashik,17100.0
Mumbai Suburban,5770.0
Osmanabad,11615.0
Palghar,7905.0
Parbhani,10675.0
Pune,19635.0
Pune,440.0
Pune,18590.0
Raigad,4140.0
Ratnagiri,4055.0
Sangli,10660.0
Satara,14325.0
Sindhudurg,4635.0
Solapur,10750.0
Solapur,23600.0
Thane,11855.0
Thane,12795.0
Wardha,70395.0
Washim,12365.0
Yavatmal,42665.0
Bishnupur,415.0
Chandel,275.0
Churachandpur,130.0
Imphal West,10.0
Imphal East,925.0
Imphal West,745.0
Senapati,25.0
Tamenglong,20.0
Thoubal,760.0
Ukhrul,30.0
East Garo Hills,0.0
North Garo Hills,65.0
South Garo Hills,60.0
South West Garo Hills,25.0
West Garo Hills,90.0
West Jaintia Hills,225.0
East Jaintia Hills,90.0
East Khasi Hills,1080.0
South West Khasi Hills,90.0
West Khasi Hills,230.0
Ri Bhoi,35.0
Aizawl,770.0
Champhai,590.0
Kolasib,220.0
Lawngtlai,65.0
Lunglei,180.0
Mamit,170.0
Saiha,105.0
Serchhip,845.0
Aizawl,150.0
Dimapur,1050.0
Kiphire,55.0
Kohima,315.0
Longleng,90.0
Mokokchung,175.0
Mon,110.0
Peren,145.0
Phek,75.0
Tuensang,135.0
Wokha,130.0
Zunheboto,135.0
Anugul,1900.0
Baleshwar,245.0
Bargarh,1225.0
Baleshwar,680.0
Bhadrak,210.0
Balangir,180.0
Boudh,365.0
Cuttack,415.0
Khordha,820.0
Cuttack,470.0
Deogarh,240.0
Dhenkanal,105.0
Gajapati,335.0
Ganjam,2075.0
Jagatsinghapur,180.0
Jajapur,550.0
Jharsuguda,290.0
Kalahandi,250.0
Kandhamal,955.0
Kendrapara,95.0
Kendujhar,570.0
Khordha,360.0
Koraput,620.0
Malkangiri,280.0
Mayurbhanj,125.0
Nayagarh,530.0
Nabarangpur,1085.0
Nuapada,130.0
Puri,235.0
Rayagada,290.0
Sundargarh,425.0
Sambalpur,1785.0
Sonepur,320.0
Cuttack,20.0
Sundargarh,20.0
Sundargarh,215.0
Cuttack,5.0
Amritsar,2720.0
Barnala,1390.0
Gurdaspur,1405.0
Bathinda,3530.0
Amritsar,2410.0
Jalandhar,3400.0
Ludhiana,6270.0
Faridkot,1585.0
Fatehgarh Sahib,930.0
Fazilka,1920.0
Ferozepur,2200.0
Patiala,1535.0
Gurdaspur,810.0
Hoshiarpur,3260.0
Jalandhar,8390.0
Kapurthala,4900.0
Ludhiana,2655.0
Ludhiana,8585.0
Mansa,2115.0
Moga,3275.0
Sri Muktsar Sahib,2370.0
Pathankot,710.0
Patiala,4520.0
Rupnagar,1100.0
Sangrur,4120.0
S.A.S Nagar,2235.0
Shahid Bhagat Singh Nagar,1735.0
Tarn Taran,3940.0
S.A.S Nagar,35.0
S.A.S Nagar,160.0
S.A.S Nagar,5.0
Amritsar,110.0
Ajmer,8020.0
Alwar,12575.0
Banswara,3300.0
Baran,8110.0
Barmer,1895.0
Bharatpur,10255.0
Bhilwara,6450.0
Bikaner,8655.0
Bundi,9440.0
Chittorgarh,4725.0
Churu,2430.0
Dausa,4930.0
Dholpur,4345.0
Dungarpur,1895.0
Ajmer,3540.0
Jodhpur,555.0
Ganganagar,14470.0
Hanumangarh,9475.0
Jaipur,6580.0
Jaipur,10085.0
Jaipur (Gramin),5135.0
Jaipur,4875.0
Jaipur,7060.0
Jaisalmer,1490.0
Jalore,2170.0
Jhalawar,9340.0
Jhunjhunu,5475.0
Jodhpur,2160.0
Jodhpur,1880.0
Jodhpur,2045.0
Karauli,4430.0
Kota,15620.0
Kota,8520.0
Nagaur,3200.0
Pali,4225.0
Pratapgarh,2565.0
Rajsamand,4850.0
Sawai Madhopur,3615.0
Sikar,4795.0
Sirohi,2495.0
Tonk,2750.0
Udaipur,6650.0
Jaipur,0.0
Jaipur,180.0
Jaipur,80.0
Jaipur,0.0
Gangtok,740.0
Mangan,15.0
Namchi,415.0
Gyalshing,125.0
Ariyalur,12770.0
Chennai,109225.0
Coimbatore,19610.0
Coimbatore,41610.0
Cuddalore,32610.0
Dharmapuri,21095.0
Dindigul,33970.0
Erode,18340.0
Kanchipuram,28455.0
Kanniyakumari,23665.0
Karur,14415.0
Krishnagiri,30805.0
Madurai,34610.0
Madurai,77405.0
Nagapattinam,38695.0
Namakkal,22030.0
The Nilgiris,17485.0
Perambalur,15440.0
Pudukkottai,18685.0
Ramanathapuram,15940.0
Chennai,50.0
Tiruchirappalli,955.0
Salem,26370.0
Salem,18345.0
Sivaganga,15090.0
Thanjavur,22080.0
Theni,27890.0
Tirunelveli,27810.0
Tirunelveli,13880.0
Thiruvallur,26315.0
Tiruvannamalai,35600.0
Thiruvarur,29645.0
Tuticorin,27345.0
Tiruppur,15435.0
Tiruppur,8185.0
Tiruchirappalli,19980.0
Tiruchirappalli,29070.0
Vellore,30055.0
Villupuram,73400.0
Virudhunagar,49270.0
Chennai,15.0
Chennai,9545.0
Hyderabad,4000.0
Hyderabad,10120.0
Karimnagar,700.0
Khammam,1780.0
Nizamabad,575.0
Yadadri Bhuvanagiri,3005.0
Peddapalli,1365.0
Siddipet,425.0
Warangal,3670.0
Adilabad,570.0
Bhadradri Kothagudem,1700.0
Jagitial,1650.0
Jayashankar Bhupalapally,1535.0
Jogulamba Gadwal,1200.0
Kamareddy,545.0
Kumuram Bheem Asifabad,515.0
Mahabubabad,2030.0
Mahabubnagar,1145.0
Medak,775.0
Nagarkurnool,1100.0
Nalgonda,1330.0
Nirmal,690.0
Rajanna Sircilla,315.0
Sangareddy,970.0
Suryapet,900.0
Vikarabad,1005.0
Wanaparthy,1075.0
Hyderabad,810.0
Dhalai,160.0
Gomati,105.0
West Tripura,60.0
Khowai,75.0
North Tripura,160.0
Sepahijala,145.0
South Tripura,280.0
Unakoti,160.0
West Tripura,450.0
Agra,33425.0
Aligarh,22965.0
Prayagraj,8135.0
Ambedkar Nagar,2455.0
Amethi,4665.0
Amroha,7280.0
Auraiya,2655.0
Azamgarh,13650.0
Budaun,7015.0
Baghpat,6685.0
Bahraich,6315.0
Ballia,4575.0
Balrampur,2635.0
Banda,3525.0
Barabanki,6000.0
Bareilly,27105.0
Basti,7500.0
Bijnor,6495.0
Bulandshahr,6250.0
Chandauli,2585.0
Chitrakoot,3545.0
Deoria,3265.0
Etah,6750.0
Etawah,4675.0
Ayodhya,4015.0
Farrukhabad,6010.0
Fatehpur,3650.0
Firozabad,9640.0
Lucknow,18150.0
Gautam Buddha Nagar,10375.0
Ghaziabad,16110.0
Ghazipur,3720.0
Gonda,17125.0
Gorakhpur,5930.0
Hamirpur,2945.0
Hapur,4985.0
Hardoi,5295.0
Hathras,6695.0
Jalaun,6495.0
Jaunpur,3810.0
Jhansi,4180.0
Kannauj,2165.0
Kanpur Dehat,7340.0
Kanpur Nagar,12850.0
Kasganj,6150.0
Kaushambi,2035.0
Kheri,8390.0
Kushi Nagar,4770.0
Lalitpur,1860.0
Lucknow,9485.0
Maharajganj,3440.0
Mahoba,2565.0
Mainpuri,11925.0
Mathura,7950.0
Mau,1755.0
Meerut,17565.0
Mirzapur,4935.0
Moradabad,8705.0
Muzaffarnagar,11415.0
Pilibhit,11585.0
Pratapgarh,2320.0
Rae Bareli,3595.0
Rampur,9720.0
Saharanpur,11140.0
Sambhal,11355.0
Sant Kabeer Nagar,2185.0
Shahjahanpur,8000.0
Shamli,5160.0
Shravasti,5635.0
Siddharth Nagar,1540.0
Sitapur,11445.0
Sonbhadra,2595.0
Bhadohi,2350.0
Sultanpur,2420.0
Unnao,4580.0
Varanasi,5610.0
Almora,130.0
Bageshwar,130.0
Chamoli,195.0
Champawat,2820.0
Dehradun,5040.0
Haridwar,24320.0
Nainital,1205.0
Pauri Garhwal,605.0
Pithoragarh,85.0
Rudra Prayag,70.0
Tehri Garhwal,250.0
Udam Singh Nagar,13025.0
Uttar Kashi,215.0
Dehradun,90.0
Alipurduar,780.0
Paschim Bardhaman,1050.0
Bankura,345.0
24 Paraganas North,2320.0
24 Paraganas North,605.0
Birbhum,1205.0
Coochbehar,3330.0
Dinajpur Dakshin,1695.0
Darjeeling,1140.0
Hooghly,575.0
Howrah,95.0
Howrah,1120.0
Howrah,1000.0
Jalpaiguri,1675.0
Jhargram,200.0
Medinipur West,70.0
Kolkata,7815.0
Maldah,3835.0
Murshidabad,5330.0
Nadia,3995.0
Medinipur West,745.0
Medinipur East,420.0
Purulia,525.0
Kolkata,530.0
Darjeeling,50.0
Darjeeling,2325.0
Dinajpur Uttar,890.0
24 Paraganas South,1540.0
Hooghly,870.0
24 Paraganas South,1135.0
Kalimpong,385.0
Purba Bardhaman,1290.0
24 Paraganas South,500.0
24 Paraganas North,3795.0
24 Paraganas North,2545.0
South Andamans,390.0
North And Middle Andaman,165.0
Nicobars,50.0
Chandigarh,5090.0
Dadra And Nagar Haveli,155.0
Daman,50.0
Diu,15.0
Central,2255.0
North West,630.0
East,1460.0
New Delhi,95.0
New Delhi,910.0
North West,140.0
New Delhi,240.0
North,1835.0
North East,3075.0
North West,3015.0
North West,2610.0
New Delhi,280.0
South,3675.0
South East,2195.0
South West,1730.0
North West,345.0
New Delhi,0.0
New Delhi,0.0
West,2070.0
North West,2775.0
Shahdara,1795.0
South West,1340.0
Lakshadweep District,180.0
Karaikal,1100.0
Pondicherry,3250.0
Anantapur,655.0
Chittoor,2750.0
Y.S.R.,12160.0
East Godavari,7415.0
Anantapur,50.0
Guntur,225.0
Guntur,495.0
Krishna,1345.0
Kurnool,8110.0
Spsr Nellore,275.0
Prakasam,780.0
East Godavari,1900.0
Srikakulam,1570.0
Tirupati,870.0
Ntr,1535.0
Ntr,150.0
Visakhapatanam,1935.0
Visakhapatanam,3090.0
Vizianagaram,1820.0
West Godavari,9145.0
Anjaw,0.0
Changlang,150.0
Papum Pare,10.0
Dibang Valley,0.0
East Kameng,5.0
West Kameng,65.0
Kurung Kumey,0.0
Lohit,5.0
Longding,35.0
Lower Dibang Valley,85.0
Papum Pare,200.0
Papum Pare,5.0
East Siang,100.0
Upper Siang,25.0
West Siang,10.0
Lower Subansiri,0.0
Upper Subansiri,30.0
Tawang,5.0
Tirap,60.0
Namsai,165.0
Siang,0.0
Kamle,10.0
Lower Siang,0.0
Leparada,0.0
Kamrup Metro,55.0
Barpeta,2105.0
Baksa,650.0
Bongaigaon,680.0
Kamrup Metro,30.0
Cachar,1475.0
Chirang,310.0
Darrang,795.0
Dhemaji,410.0
Dhubri,2105.0
Dibrugarh,1875.0
Kamrup Metro,335.0
Goalpara,580.0
Golaghat,1110.0
Kamrup Metro,5010.0
Hailakandi,470.0
West Karbi Anglong,115.0
Jorhat,870.0
Kamrup,1345.0
Karbi Anglong,190.0
Karimganj,1155.0
Kokrajhar,415.0
Lakhimpur,795.0
Marigaon,710.0
Dima Hasao,190.0
Nagaon,1070.0
Nalbari,675.0
Kamrup Metro,0.0
Kamrup Metro,5.0
Kamrup Metro,40.0
Sivasagar,890.0
Sonitpur,2205.0
Tinsukia,1990.0
Udalguri,305.0
Tinsukia,140.0
Majuli,45.0
Biswanath,280.0
Hojai,675.0
South Salmara Mancachar,480.0
Charaideo,560.0
Araria,8465.0
Arwal,1040.0
Aurangabad,5645.0
Pashchim Champaran,3375.0
Banka,2700.0
Begusarai,1325.0
Pashchim Champaran,6970.0
Kaimur (Bhabua),680.0
Bhagalpur,6105.0
Bhojpur,1140.0
Buxar,5460.0
Darbhanga,5650.0
Gaya,11315.0
Gopalganj,7715.0
Munger,2355.0
Jamui,2285.0
Jehanabad,365.0
Katihar,8430.0
Katihar,1330.0
Khagaria,2685.0
Kishanganj,1635.0
Lakhisarai,1595.0
Madhepura,575.0
Madhubani,10450.0
Purbi Champaran,12380.0
Munger,3815.0
Muzaffarpur,11620.0
Muzaffarpur,5580.0
Nalanda,7895.0
Bhagalpur,1140.0
Nawada,5260.0
Patna,49925.0
Patna,4015.0
Purnia,6515.0
Rohtas,12145.0
Saharsa,2825.0
Samastipur,4995.0
Saran,9715.0
Sheikhpura,960.0
Sheohar,2100.0
Sitamarhi,8110.0
Siwan,9090.0
Supaul,3650.0
Vaishali,4315.0
Patna,5.0
Patna,0.0
Balod,1340.0
Baloda Bazar,3045.0
Balrampur,900.0
Bemetara,2915.0
Bilaspur,6030.0
Bijapur,200.0
Dantewada,495.0
Dhamtari,2615.0
Durg,7035.0
Gariyaband,1585.0
Raipur,200.0
Bastar,1445.0
Janjgir-Champa,4645.0
Jashpur,950.0
Kabirdham,2225.0
Kanker,1255.0
Kondagaon,910.0
Korba,2720.0
Korea,2365.0
Mahasamund,2910.0
Mungeli,2000.0
Narayanpur,215.0
Raigarh,5225.0
Raipur,7215.0
Rajnandgaon,2780.0
Surguja,1245.0
Sukma,245.0
Surajpur,2235.0
North Goa,2155.0
South Goa,2590.0
North Goa,900.0
Ahmadabad,113735.0
Ahmadabad,28945.0
Amreli,18080.0
Anand,28265.0
Arvalli,18235.0
Banas Kantha,53315.0
Bharuch,35305.0
Bhavnagar,51220.0
Botad,7935.0
Chhotaudepur,19050.0
Gandhinagar,5.0
Dohad,20870.0
Dang,2540.0
Devbhumi Dwarka,20985.0
Gandhinagar,17615.0
Gir Somnath,13815.0
Jamnagar,35105.0
Junagadh,20715.0
Kachchh,16820.0
Kachchh,18610.0
Kheda,32685.0
Mahisagar,11890.0
Mahesana,26925.0
Morbi,26235.0
Narmada,11295.0
Navsari,32795.0
Panch Mahals,28095.0
Patan,18385.0
Porbandar,19940.0
Rajkot,15360.0
Rajkot,34130.0
Sabar Kantha,19445.0
Surat,139600.0
Surat,25890.0
Surendranagar,16685.0
Tapi,8195.0
Vadodara,76790.0
Vadodara,34600.0
Valsad,26125.0
Ahmadabad,11555.0
Vadodara,11685.0
Ambala,4905.0
Bhiwani,2060.0
Faridabad,6255.0
Fatehabad,4910.0
Ambala,435.0
Gurugram,5850.0
Hisar,2535.0
Jhajjar,2345.0
Jind,2800.0
Kaithal,1845.0
Karnal,4010.0
Kurukshetra,2885.0
Mahendragarh,1045.0
Nuh,3025.0
Palwal,2265.0
Panchkula,1275.0
